TAHUN,BUS,TRUK,SEPEDA MOTOR,MOBIL PENUMPANG,TOTAL
2021,8911,159003,3877595,465282,4510791
2020,9205,156624,3811957,460909,4438695
2019,9088,153722,3718636,449541,4330987
2018,8643,148238,3516415,422838,4096134
2017,8223,142780,3337326,396680,3885009
2016,7791,138297,3184947,371972,3703007
2015,7532,132773,3015287,350351,3505943
2014,7090,123609,2811192,326180,3268071
2013,6533,113937,2586715,296403,3003588
2012,5983,101509,2374604,267068,2749164
2011,5605,88843,2154568,245462,2494478
2010,3731,65754,1449279,196911,1715675
2009,3516,58240,1317026,168863,1547645
2008,3480,56305,1227617,158743,1446145
2007,3564,54951,1157205,148885,1364605
2006,3730,53981,1088627,141949,1288287
2005,3817,54388,1035516,141800,1235521
2004,3673,50705,898675,128141,1081194
2003,3543,47733,773653,120222,945151
2002,3585,45965,734919,118080,902549
2001,3474,43921,680371,115139,842905
2000,3368,38489,578182,104824,724863
1999,5466,37337,530226,93621,666650
1998,5536,38426,544877,85782,674621
1997,4746,39184,494057,74718,612705
1996,4543,33605,436552,67910,542610
